,netG_loss,netD_loss
0,0.1094726026058197,0.5188833673795065
1,0.10019157578547795,0.9702067176500956
2,0.09274848798910777,0.970460851987203
3,0.08687194685141246,0.9700778325398763
4,0.08175154278675716,0.9696286718050638
5,0.07794803629318874,0.9688708980878195
6,0.07363126923640569,0.9684067765871683
7,0.07009477913379669,0.9677363435427347
8,0.06704513480265935,0.9675308465957642
9,0.06442843874295552,0.9671517809232076
10,0.06145390744010607,0.967048704624176
11,0.05926103517413139,0.9667836229006449
12,0.05766710018118223,0.9664702614148458
13,0.057184431701898575,0.9660774270693461
14,0.0551795723537604,0.9657969872156779
15,0.054489838580290474,0.965526819229126
16,0.05262701337536176,0.965357780456543
17,0.05156960462530454,0.9651522437731425
18,0.05000852048397064,0.9650079210599264
19,0.04903785511851311,0.9647978146870931
